gene.name	time	gene.regulation	mean
MCM4	600	down-regulated	-2.06581180709475
MCM4	720	down-regulated	-2.63186259016462
EML1	0	down-regulated	0
EML1	30	down-regulated	0.00903484841027669
EML1	60	down-regulated	-0.188581926818139
EML1	120	down-regulated	-0.432859587336356
EML1	180	down-regulated	-0.563815608294039
EML1	240	down-regulated	-0.726426452681911
EML1	300	down-regulated	-1.50261301744163
EML1	360	down-regulated	-1.87561536514348
EML1	420	down-regulated	-1.93366289726308
EML1	480	down-regulated	-1.93562592341768
EML1	600	down-regulated	-2.40800065230116
EML1	720	down-regulated	-2.44363902253043
FARP1	0	up-regulated	0
FARP1	30	up-regulated	0.0420531521681443
FARP1	60	up-regulated	0.247669133582144
FARP1	120	up-regulated	0.222268093958459
FARP1	180	up-regulated	0.252416083321963
FARP1	240	up-regulated	0.401939601775526
FARP1	300	up-regulated	1.02969101485382
FARP1	360	up-regulated	1.35054019089955
FARP1	420	up-regulated	1.37912745708603
FARP1	480	up-regulated	1.45745392724328
FARP1	600	up-regulated	2.61426163712561
FARP1	720	up-regulated	2.57109642470758
JAK1	0	up-regulated	0
JAK1	30	up-regulated	0.063814833237227
JAK1	60	up-regulated	0.217836444081847
JAK1	120	up-regulated	0.917385208788432
JAK1	180	up-regulated	1.04872913811164
JAK1	240	up-regulated	1.06613649393467
JAK1	300	up-regulated	1.03532562585433
JAK1	360	up-regulated	1.58157196296397
JAK1	420	up-regulated	1.87342424124307
JAK1	480	up-regulated	1.93222169840519
JAK1	600	up-regulated	2.64086689570828
JAK1	720	up-regulated	2.70350864268288
CHAF1A	0	down-regulated	0
CHAF1A	30	down-regulated	0.00143348093351725
CHAF1A	60	down-regulated	-0.289640634026385
CHAF1A	120	down-regulated	-0.227361698874243
CHAF1A	180	down-regulated	-0.150806068478826
CHAF1A	240	down-regulated	-0.3723757295271
CHAF1A	300	down-regulated	-0.730113165016884
CHAF1A	360	down-regulated	-0.958824402247457
CHAF1A	420	down-regulated	-1.51526683218378
CHAF1A	480	down-regulated	-1.58105198421385
